cgpa,Branch,Coding Languages you are proficient in:,English Written:,English Spoken:,Quantitative Aptitude:,Number of Projects:,Number of Publications/Research Paper(If Any):,Any Extra/Other Skills:,Company Name :,Company Name(If placed and profile),Internship Experience (The number of internship  and company name):,Number of Backlogs,Events Organised:,numberofcodinglanguage,numberproject,numberextraskill,numberinternship,numberevents,numberbranch,numberenglishwritten,numberenglishspoken,numberquantativeaptitude,numbercompany
8.83,CSE,C;JAVA,Good,Good,Good,3,0,Android,placed,Odessa,0,0,,2,3,1,0,0,2,3,3,3,1
6,CSE,No language known,Bad,Bad,Bad,0,0,N,unplaced,,,5,,1,0,0,0,0,2,1,1,1,2
7.1,CSE,C;C++;JAVA,Average,Good,Average,1,0,Management skills;Java,unplaced,,"1, BSNL Lt.",0,Kiit deemed university,3,1,2,1,1,2,2,2,2,2
9.44,CSE,C;C++,Average,Average,Average,2,0,Machine Learning,unplaced,,,0,,2,2,1,0,0,2,2,2,2,2
7.43,CSE,C;C++,Very Good,Good,Very Good,3,0,"Machine Learning;Big Data;SAS,SAP",unplaced,,,0,,2,3,4,0,0,2,4,3,4,2
9.55,CSE,C;JAVA,Good,Good,Average,7,0,AWS,placed,Novartis Business Solution - Information Technology,10 months Internship at Aakar Software & Services 1,0,None,2,7,1,1,0,2,3,2,2,1
8.94,CSE,C;JAVA,Good,Good,Good,2,0,Android;Web Development,placed,,,0,,2,2,2,0,0,2,3,3,3,1
8.58,CSE,C;C++;JAVA;Python,Excellent,Excellent,Good,3,0,Android;Web Development,placed,High Radius   - Associate Software Developer,1 - Skylark Drones - Software Development,0,3,4,3,2,1,3,2,5,5,3,1
9.2,CSE,C;C++;JAVA;R,Good,Very Good,Good,2,0,Machine Learning;Management skills,placed,"HIGH RADIUS..PROFILE: customer Success associate..product EIPP,RADIUS ONE , CREDIT MANAGEMENT ",1.) RESEARCH DESIGN AND STANDARD ORGANIZATION 2.) high radius(not yet completed),0,"Freshers, karunya2K16...kritagya 2K16",4,2,2,2,2,2,3,4,3,1
7.46,CSE,C;C++;JAVA,Good,Good,Very Good,2,0,Machine Learning;Android,unplaced,,,0,,3,2,2,0,0,2,3,3,4,2
7.79,CSE,C;JAVA,Good,Good,Very Good,3,0,Machine Learning,unplaced,,,0,,2,3,1,0,0,2,3,3,4,2
7.86,CSE,C;C++;JAVA;Python;PHP,Very Good,Very Good,Very Good,5,0,"Android;Web Development;Penetration Testing, Reverse Engineering, Ethical Hacking, Secure Coding",unplaced,,,0,,5,5,6,0,0,2,4,4,4,2
6,CSE,Python,Good,Average,Excellent,2,0,Cloud computing,unplaced,,1 and company name-Ecil,3,,1,2,1,1,0,2,3,2,5,2
7.7,CSE,C;Python,Good,Very Good,Good,2,0,Machine Learning;Web Development;Big Data,unplaced,,"2 months :- OpenEBS , 2 months:- CLOUDALABS",0,,2,2,3,2,0,2,3,4,3,2
8.76,CSE,C;C++;JAVA;Python,Very Good,Very Good,Good,4,0,Web Development,placed,"High Radius, Hyderabad( Associate Software Engineer 1)",0,0,"CELT - 2016, Internship Camp -2017",4,4,1,0,2,2,4,4,3,1
8.82,CSE,C;C++;JAVA,Good,Good,Very Good,4,0,Android;Web Development;Big Data,unplaced,,,0,1,3,4,3,0,1,2,3,3,4,2
9.22,CSE,C;C++;R,Very Good,Very Good,Excellent,8,0,"Machine Learning;Android;Web Development;Data Analysis, Programming",placed,VMWare (R&D Intern),"3 -  VMWare, Sixth Sense Enterprises Opc. Ltd., Aakar Online",0,"Kritagya, Worshops conducted  by Konnexions",3,8,5,3,2,2,4,4,5,1
8.48,CSE,C;C++;Python,Good,Very Good,Very Good,2,1,Machine Learning;Blockchain;Big Data,placed,Deloitte,"1, CMERI",0,none,3,2,3,1,0,2,3,4,4,1
8.71,CSE,C;C++;Python;R,Very Good,Very Good,Very Good,3,0,Machine Learning,placed,Deloitte(Business Technology Analyst) ,Health on Rent(8 months) 1,0,2,4,3,1,1,2,2,4,4,4,1
6.84,CSE,C,Good,Good,Average,1,0,Big Data,unplaced,,TATA STEEL Ltd,0,Max Fashion Event(Kalinga International Film Festival),1,1,1,1,1,2,3,2,2,2
5.95,CSE,C;C++;JAVA;Python;R,Good,Good,Good,2,0,Machine Learning;Android;Sales;Management skills,unplaced,,1 Awign Enterprise,0,,5,2,4,1,0,2,3,3,3,2
7.8,CSE,C;C++,Very Good,Very Good,Very Good,1,0,Management skills,unplaced,,,0,,2,1,1,0,0,2,4,4,4,2
8.8,IT,C;JAVA,Very Good,Very Good,Good,3,1,Big Data;Digital marketing,placed,Robert Bosch-Developer,1. CL INSIGHT SOLUTIONS PVT. LTD.,0,"Kritagya, Kritarth, ICDCIT-2018",2,3,2,1,3,5,4,4,3,1
8.1,IT,C;C++,Very Good,Very Good,Very Good,6,0,Android;Web Development;Game development,placed,Odessa,,0,,2,6,3,0,0,5,4,4,4,1
9.01,IT,C;C++;JAVA,Very Good,Good,Good,2,0,Machine Learning;Android;Web Development,placed,Robert Bosch,CFCS NOIDA,0,None,3,2,3,1,0,5,4,3,3,1
8.84,CSE,C;JAVA,Good,Good,Good,2,0,Web Development,placed,Informatica ,,0,,2,2,1,0,0,2,3,3,3,1
9.37,CSE,C;C++;JAVA,Good,Good,Good,2,0,Machine Learning,placed,Informatica ,,0,,3,2,1,0,0,2,3,3,3,1
7.12,CSE,C++;Python,Very Good,Good,Good,1,0,Android;Web Development;Big Data,unplaced,,,0,,2,1,3,0,0,2,4,3,3,2
8,IT,C;JAVA,Very Good,Very Good,Very Good,2,0,Networking and security,unplaced,,,0,Karunya 2k16,2,2,2,0,1,5,4,4,4,2
8.12,CSE,JAVA,Very Good,Very Good,Very Good,3,0,Android;IoT,unplaced,,Kiit IoT Lab,0,None,1,3,2,1,0,2,4,4,4,2
7.4,EE,C++;JAVA,Excellent,Excellent,Good,2,0,Management skills;Matlab;PLC,unplaced,,,0,Kiit fest 2.0,2,2,3,0,0,3,5,5,3,2
8.34,EEE,C;C++;JAVA;Python,Good,Good,Very Good,4,0,Machine Learning;Android;Matlab,placed,,,0,,4,4,3,0,0,4,3,3,4,1
6.59,EEE,C++,Excellent,Very Good,Good,1,0,Management skills;Matlab,unplaced,,"1 , IMFA",0,,1,1,2,1,0,4,5,4,3,2
8.83,EEE,C;C++,Good,Good,Good,1,0,Management skills;Matlab,unplaced,,"1, KATALLYST",0,"3 (KIFF, KIIT Fest, Kinetics Mini cycling Marathon)",2,1,2,1,3,4,3,3,3,2
8.16,EEE,C;Little bit knowledge of C,Good,Average,Very Good,3,0,Sales;Management skills;Marketing,unplaced,,No internships only Industrial trainings.,0,3,2,3,3,0,3,4,3,2,4,2
7.83,EEE,C,Very Good,Good,Very Good,2,0,"IOT, Embedded",unplaced,,1.MTPS,0,,1,2,2,1,0,4,4,3,4,2
8.02,EEE,C;C++;JAVA,Very Good,Very Good,Good,1,0,Matlab,unplaced,,0,0,One,3,1,1,0,1,4,4,4,3,2
6.79,EEE,C,Very Good,Very Good,Very Good,1,0,Management skills,unplaced,,,0,,1,1,1,0,0,4,4,4,4,2
7.5,EEE,C;C++,Very Good,Excellent,Very Good,4,0,Android,unplaced,,1. RCPL     2. Webtown Solution,0,,2,4,1,2,0,4,4,5,4,2
6.79,EEE,C;C++,Good,Average,Average,1,0,Matlab,unplaced,,,0,,2,1,1,0,0,4,3,2,2,2
6.98,EEE,JAVA,Very Good,Very Good,Good,2,0,Management skills,unplaced,,,0,,1,2,1,0,0,4,4,4,3,2
7.27,EEE,C,Good,Good,Good,"1 project, ink dispensering system ",0,Machine Learning,unplaced,,KIIT UNIVERSITY,0,None,1,1,1,1,0,4,3,3,3,2
7.87,EEE,C;C++,Good,Good,Good,1,0,Iot,unplaced,,,0,1,2,1,1,0,1,4,3,3,3,2
7.87,EEE,C;C++,Good,Good,Good,1,0,Iot,unplaced,,,0,1,2,1,1,0,1,4,3,3,3,2
8.12,EEE,C;C++,Excellent,Excellent,Very Good,1,0,Management skills,unplaced,,"Cttc,eduvance",0,,2,1,1,2,0,4,5,5,4,2
6.4,EEE,C;C++,Very Good,Very Good,Good,1,0,Management skills,unplaced,,"Cttc ,eduvance",0,,2,1,1,2,0,4,4,4,3,2
8.66,EEE,C;C++,Good,Good,Excellent,1,0,IOT,unplaced,,,0,,2,1,1,0,0,4,3,3,5,2
7.5,EEE,C,Good,Good,Good,2,0,Web Development;Matlab,unplaced,,,0,NSS events organised.,1,2,2,0,1,4,3,3,3,2
7.72,IT,C;JAVA,Good,Good,Good,1,1,Machine Learning,placed,,"1,Tata Steel",0,1,2,1,1,1,1,5,3,3,3,1
6.64,EEE,C;C++;Python;Sql,Excellent,Very Good,Good,1,0,Matlab;Data analysis,unplaced,,0,0,,4,1,2,0,0,4,5,4,3,2
6.23,EEE,C++,Excellent,Very Good,Very Good,3,1,Matlab,unplaced,,"HAL, BSNL, CTTC",2,No,1,3,1,3,0,4,5,4,4,2
8.03,EEE,C;C++,Good,Good,Very Good,1,0,Machine Learning,unplaced,,"1 , nspcl bhilai",0,ieee workshop attened,2,1,1,1,1,4,3,3,4,2
8.36,EEE,JAVA,Good,Good,Very Good,1,0,Machine Learning;IOT,unplaced,,,0,,1,1,2,0,0,4,3,3,4,2
8.34,EEE,C,Very Good,Very Good,Good,2,0,Sales;Management skills;Photoshop,placed,Highradius marketing intern,2 retisense and tatasteel,0,Mr. And Mrs. Bhubaneswar 2017,1,2,3,2,1,4,4,4,3,1
7.51,IT,C;C++;JAVA;R,Good,Very Good,Excellent,6,2,Machine Learning;Android;Web Development;Blockchain;Big Data;Matlab,placed,Kony Associate Engg.,,0,,4,6,6,0,0,5,3,4,5,1
8.19,EEE,C++,Very Good,Good,Average,3,0,"Web Development;Matlab;Word, Excel, Power-point,  Photoshop, RDBMS",unplaced,,"2, DTPS (DVC) and DSP (SAIL)",0,,1,3,7,2,0,4,4,2,2,2
6.92,EEE,C;C++;Python,Good,Good,Average,1,0,IOT,unplaced,, Training in SAIL (BOKARO) ,0,Organised an event in avionics(aeronautical society). ,3,1,1,1,1,4,3,2,2,2
9.03,CSE,C;C++,Very Good,Good,Very Good,4,0,Android,unplaced,,0,0,No,2,4,1,0,0,2,4,3,4,2
8.36,EEE,No language known,Average,Average,Good,1 (Minor Project),0,Web Development;Embedded & basic Robotics.,unplaced,,summer training in power plant.,0,None.,1,1,3,1,0,4,2,2,3,2
6.05,EEE,C;Python,Very Good,Good,Excellent,2,0,Sales;Management skills;Matlab,unplaced,,1 WEBEL AUTOMATION ACA,0,,2,2,3,1,0,4,4,3,5,2
8.6,EEE,C;C++;Python;Ruby,Very Good,Very Good,Good,3,0,"Management skills;Matlab;Internet of things, Advanced Networking",placed,Nutanix Profile: Software Reliability Engineer,0,0,0,4,3,4,0,0,4,4,4,3,1
6.19,CSE,C#,Good,Good,Good,4,1,Web Development;Sales;Management skills,unplaced,,"2 LT metro rail Hyderabad, Techment Technology Bhilai",0,3,1,4,3,2,3,2,3,3,3,2
7.28,EEE,C,Very Good,Excellent,Good,1,0,Sales;Management skills;Embedded an Robotics,unplaced,,,0,"•Coordinator of Kreative eye (2018)- The official photography society of KIIT. •Member of the broadcasting team of KIIT MUN 2016, 2017. •Member of the organizing committee of KIITFEST, the annual cultural fest of KIIT. •Member of the organizing committee of TEDxKIIT University 2017.",1,1,3,0,3,4,4,5,3,2
6.9,EEE,C;C++,Good,Very Good,Very Good,1,0,Management skills,unplaced,,,0,yes,2,1,1,0,1,4,3,4,4,2
7.77,EE,C;C++,Excellent,Excellent,Excellent,1,0,Android;Web Development;Sales;Management skills,unplaced,,RSP,0,Genesys fashion group auditions ,2,1,4,1,1,3,5,5,5,2
7.52,EEE,C;C++,Very Good,Very Good,Very Good,1,0,Sales;Management skills,unplaced,,1.national thermal power corporation ,0,2,2,1,2,1,2,4,4,4,4,2
7.04,EEE,C;C++;JAVA;Python,Very Good,Very Good,Very Good,2,0,Matlab,unplaced,,,0,,4,2,1,0,0,4,4,4,4,2
